单位净值,净值增长率,累计净值,净值更新日期,最新估值,涨跌幅,涨跌额,基金简称,最新规模,风险等级,申购状态,赎回状态
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
1.6200,-0.74%,1.6200,2020/2/20,-,-,-,嘉实现汇(QDII),17.33亿元,高风险,可申购,可赎回
